Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
2015,4,11,14,6,2015-11-14,HA,19690,HA,N478HA,195,13830,1383002,33830,OGG,"Kahului, HI",HI,15.0,Hawaii,2,12173,1217302,32134,HNL,"Honolulu, HI",HI,15.0,Hawaii,2,1933,1959.0,26.0,26.0,1.0,1.0,1900-1959,7.0,2006.0,2033.0,7.0,2008,2040.0,32.0,32.0,1.0,2.0,2000-2059,0.0,,0.0,35.0,41.0,27.0,1.0,100.0,1,32.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2,4,3,2,2018-04-03,EV,20366,EV,N710EV,5565,10721,1072102,30721,BOS,"Boston, MA",MA,25.0,Massachusetts,13,14524,1452401,34524,RIC,"Richmond, VA",VA,51.0,Virginia,38,1455,1739.0,164.0,164.0,1.0,10.0,1400-1459,23.0,1802.0,1920.0,3.0,1646,1923.0,157.0,157.0,1.0,10.0,1600-1659,0.0,,0.0,111.0,104.0,78.0,1.0,474.0,2,77.0,0.0,0.0,0.0,80.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,4,10,20,1,1997-10-20,UA,19977,UA,N433UA,607,11278,1127801,30852,DCA,"Washington, DC",VA,51.0,Virginia,38,13930,1393001,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,800,828.0,28.0,28.0,1.0,1.0,0800-0859,10.0,838.0,922.0,9.0,856,931.0,35.0,35.0,1.0,2.0,0800-0859,0.0,,0.0,116.0,123.0,104.0,1.0,612.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,2,4,14,4,1988-04-14,PA (1),20384,PA,,557,12478,1247801,31703,JFK,"New York, NY",NY,36.0,New York,22,11042,1104201,30647,CLE,"Cleveland, OH",OH,39.0,Ohio,44,1625,1644.0,19.0,19.0,1.0,1.0,1600-1659,,,,,1809,1826.0,17.0,17.0,1.0,1.0,1800-1859,0.0,,0.0,104.0,102.0,,1.0,425.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,4,11,22,3,1989-11-22,NW,19386,NW,,157,13487,1348701,31650,MSP,"Minneapolis, MN",MN,27.0,Minnesota,63,14747,1474702,30559,SEA,"Seattle, WA",WA,53.0,Washington,93,2205,2203.0,-2.0,0.0,0.0,-1.0,2200-2259,,,,,2329,2338.0,9.0,9.0,0.0,0.0,2300-2359,0.0,,0.0,204.0,215.0,,1.0,1399.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,4,11,25,7,2018-11-25,WN,19393,WN,N730SW,2875,10423,1042302,30423,AUS,"Austin, TX",TX,48.0,Texas,74,11540,1154005,30615,ELP,"El Paso, TX",TX,48.0,Texas,74,2245,2302.0,17.0,17.0,1.0,1.0,2200-2259,14.0,2316.0,2331.0,3.0,2320,2334.0,14.0,14.0,0.0,0.0,2300-2359,0.0,,0.0,95.0,92.0,75.0,1.0,528.0,3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2,4,24,2,2012-04-24,MQ,20398,MQ,N518MQ,3728,11618,1161802,31703,EWR,"Newark, NJ",NJ,34.0,New Jersey,21,13930,1393002,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,1400,1356.0,-4.0,0.0,0.0,-1.0,1400-1459,14.0,1410.0,1457.0,8.0,1530,1505.0,-25.0,0.0,0.0,-2.0,1500-1559,0.0,,0.0,150.0,129.0,107.0,1.0,719.0,3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,4,12,1,5,1995-12-01,DL,19790,DL,N966DL,2059,10781,1078101,30781,BTR,"Baton Rouge, LA",LA,22.0,Louisiana,72,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,1245,1245.0,0.0,0.0,0.0,0.0,1200-1259,8.0,1253.0,1351.0,5.0,1403,1356.0,-7.0,0.0,0.0,-1.0,1400-1459,0.0,,0.0,78.0,71.0,58.0,1.0,383.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3,9,3,2,2019-09-03,AS,19930,AS,N587AS,254,14771,1477104,32457,SFO,"San Francisco, CA",CA,6.0,California,91,12478,1247805,31703,JFK,"New York, NY",NY,36.0,New York,22,2315,2316.0,1.0,1.0,0.0,0.0,2300-2359,14.0,2330.0,727.0,9.0,755,736.0,-19.0,0.0,0.0,-2.0,0700-0759,0.0,,0.0,340.0,320.0,297.0,1.0,2586.0,11,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,4,10,7,2,2014-10-07,WN,19393,WN,N289CT,558,12191,1219102,31453,HOU,"Houston, TX",TX,48.0,Texas,74,15304,1530402,33195,TPA,"Tampa, FL",FL,12.0,Florida,33,1005,1008.0,3.0,3.0,0.0,0.0,1000-1059,12.0,1020.0,1304.0,4.0,1310,1308.0,-2.0,0.0,0.0,-1.0,1300-1359,0.0,,0.0,125.0,120.0,104.0,1.0,781.0,4,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,4,12,2,3,1998-12-02,NW,19386,NW,N760NW,1753,11996,1199602,31871,GSP,"Greer, SC",SC,45.0,South Carolina,37,11433,1143301,31295,DTW,"Detroit, MI",MI,26.0,Michigan,43,1945,1943.0,-2.0,0.0,0.0,-1.0,1900-1959,7.0,1950.0,2115.0,20.0,2133,2135.0,2.0,2.0,0.0,0.0,2100-2159,0.0,,0.0,108.0,112.0,85.0,1.0,508.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3,8,1,5,2014-08-01,DL,19790,DL,N955DL,2301,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12.0,Florida,33,11193,1119302,33105,CVG,"Cincinnati, OH",KY,21.0,Kentucky,52,1245,1317.0,32.0,32.0,1.0,2.0,1200-1259,15.0,1332.0,1523.0,8.0,1505,1531.0,26.0,26.0,1.0,1.0,1500-1559,0.0,,0.0,140.0,134.0,111.0,1.0,879.0,4,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,1,1,17,3,2007-01-17,WN,19393,WN,N644SW,1274,10821,1082103,30852,BWI,"Baltimore, MD",MD,24.0,Maryland,35,15304,1530401,33195,TPA,"Tampa, FL",FL,12.0,Florida,33,1600,1559.0,-1.0,0.0,0.0,-1.0,1600-1659,9.0,1608.0,1814.0,3.0,1830,1817.0,-13.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,150.0,138.0,126.0,1.0,842.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2,4,26,5,2002-04-26,NW,19386,NW,N982US,661,13244,1324401,33244,MEM,"Memphis, TN",TN,47.0,Tennessee,54,10423,1042302,30423,AUS,"Austin, TX",TX,48.0,Texas,74,915,909.0,-6.0,0.0,0.0,-1.0,0900-0959,13.0,922.0,1046.0,5.0,1104,1051.0,-13.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,109.0,102.0,84.0,1.0,559.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,1,2,16,7,1997-02-16,AS,19930,AS,N765AS,534,14747,1474702,30559,SEA,"Seattle, WA",WA,53.0,Washington,93,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6.0,California,91,1155,1155.0,0.0,0.0,0.0,0.0,1100-1159,14.0,1209.0,1423.0,8.0,1424,1431.0,7.0,7.0,0.0,0.0,1400-1459,0.0,,0.0,149.0,156.0,134.0,1.0,954.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
